Timesteps  Total_Iterations  Iterations  Convergence  
1191  2326  1  1  
1192  2328  2  1  
1193  2329  1  1  
1194  2331  2  1  
1195  2332  1  1  
1196  2334  2  1  
1197  2335  1  1  
1198  2337  2  1  
1199  2338  1  1  
1200  2340  2  1  
1201  2341  1  1  
1202  2343  2  1  
1203  2344  1  1  
1204  2346  2  1  
1205  2347  1  1  
1206  2349  2  1  
1207  2350  1  1  
1208  2352  2  1  
1209  2353  1  1  
1210  2355  2  1  
1211  2356  1  1  
1212  2358  2  1  
1213  2359  1  1  
1214  2361  2  1  
1215  2362  1  1  
1216  2364  2  1  
1217  2365  1  1  
1218  2367  2  1  
1219  2368  1  1  
1220  2370  2  1  
1221  2371  1  1  
1222  2373  2  1  
1223  2374  1  1  
1224  2376  2  1  
1225  2377  1  1  
1226  2379  2  1  
1227  2380  1  1  
1228  2382  2  1  
1229  2383  1  1  
1230  2385  2  1  
1231  2386  1  1  
1232  2388  2  1  
1233  2389  1  1  
1234  2391  2  1  
1235  2392  1  1  
1236  2394  2  1  
1237  2395  1  1  
1238  2397  2  1  
1239  2398  1  1  
1240  2400  2  1  
1241  2401  1  1  
1242  2403  2  1  
1243  2404  1  1  
1244  2406  2  1  
1245  2407  1  1  
1246  2409  2  1  
1247  2410  1  1  
1248  2412  2  1  
1249  2413  1  1  
1250  2415  2  1  
1251  2416  1  1  
1252  2418  2  1  
1253  2419  1  1  
1254  2421  2  1  
1255  2422  1  1  
1256  2424  2  1  
1257  2425  1  1  
1258  2427  2  1  
1259  2428  1  1  
1260  2430  2  1  
1261  2431  1  1  
1262  2433  2  1  
1263  2434  1  1  
1264  2436  2  1  
1265  2437  1  1  
1266  2439  2  1  
1267  2440  1  1  
1268  2442  2  1  
1269  2443  1  1  
1270  2445  2  1  
1271  2446  1  1  
1272  2448  2  1  
1273  2449  1  1  
1274  2451  2  1  
1275  2452  1  1  
1276  2454  2  1  
1277  2455  1  1  
1278  2457  2  1  
1279  2458  1  1  
1280  2460  2  1  
1281  2461  1  1  
1282  2463  2  1  
1283  2464  1  1  
1284  2466  2  1  
1285  2467  1  1  
1286  2469  2  1  
1287  2470  1  1  
1288  2472  2  1  
1289  2473  1  1  
1290  2475  2  1  
1291  2476  1  1  
1292  2478  2  1  
1293  2479  1  1  
1294  2481  2  1  
1295  2482  1  1  
1296  2484  2  1  
1297  2485  1  1  
1298  2487  2  1  
1299  2488  1  1  
1300  2490  2  1  
1301  2491  1  1  
1302  2493  2  1  
1303  2494  1  1  
1304  2496  2  1  
1305  2497  1  1  
1306  2499  2  1  
1307  2500  1  1  
1308  2502  2  1  
1309  2503  1  1  
1310  2505  2  1  
1311  2506  1  1  
1312  2508  2  1  
1313  2509  1  1  
1314  2511  2  1  
