"PointID"	"x"	"y"	"Density"	"X-Momentum"	"Y-Momentum"	"Energy"	"Residual_Density"	"Residual_X-Momentum"	"Residual_Y-Momentum"	"Residual_Energy"	"Pressure"	"Temperature"	"Pressure_Coefficient"	"Mach"
49	3.000000000000000e+00	6.666666666666656e-01	1.223486991424482e+00	3.557424560798951e-01	-5.245889734333581e-01	2.533210099739512e+05	-1.711843133911373e-08	7.485513826566148e-07	-9.871953221551877e-08	-4.600908141583204e-06	1.013283383172376e+05	2.885106903119997e+02	3.996378118402295e+00	1.521411795702254e-03	
50	3.000000000000000e+00	1.333333333333330e+00	1.223051697084667e+00	5.882137032219380e+00	-6.088833531684043e-01	2.532539335034126e+05	-1.711843133911373e-08	7.485513826566148e-07	-9.871953221551877e-08	-4.600908141583204e-06	1.012958548736712e+05	2.885208511325487e+02	-5.845616032661038e-01	1.419931068159613e-02	
51	3.000000000000000e+00	1.999999999999995e+00	1.222844779498201e+00	1.099454173652475e+01	-2.576424955297238e-01	2.532378289040108e+05	-3.937068004944422e-09	9.543811891887799e-07	-8.146725921642783e-08	5.268317181617022e-06	1.012753504201742e+05	2.885112590603460e+02	-3.476178229564263e+00	2.641160424247465e-02	
52	3.000000000000000e+00	2.666666666666659e+00	1.222859748013261e+00	1.451706488558963e+01	2.210018734250556e-01	2.532685856329298e+05	-3.937068004944422e-09	9.543811891887799e-07	-8.146725921642783e-08	5.268317181617022e-06	1.012729586700050e+05	2.885009140264019e+02	-3.813472006066279e+00	3.486824155065771e-02	
53	3.000000000000000e+00	3.333333333333329e+00	1.222987658535699e+00	1.634440059131327e+01	2.354054476184018e-01	2.533202928637755e+05	2.257519726711621e-09	1.192179379216896e-06	1.880327937797688e-08	3.082415787503123e-06	1.012844217174248e+05	2.885033920228581e+02	-2.196909120737853e+00	3.925253026811670e-02	
54	2.333333333333333e+00	4.000000000000000e+00	1.223205566023370e+00	1.671144525572436e+01	-1.010519412728593e-02	2.533882486767749e+05	3.153427963198396e-09	1.693730457219544e-06	-1.509800534593708e-08	4.094763426110148e-06	1.013096370714522e+05	2.885238085219254e+02	1.359056755356723e+00	4.012129737714300e-02	
55	1.666666666666668e+00	4.000000000000000e+00	1.223175455324188e+00	1.568836305385907e+01	4.336716061674067e-02	2.533739219082366e+05	3.153427963198396e-09	1.693730457219544e-06	-1.509800534593708e-08	4.094763426110148e-06	1.013093248857791e+05	2.885300219546706e+02	1.315031135113457e+00	3.766571213740057e-02	
56	1.000000000000000e+00	4.000000000000000e+00	1.223305539363598e+00	1.441856385253444e+01	1.446380324681364e-02	2.533883807329895e+05	6.385514339513065e-10	1.605570780327525e-06	-3.514688706740543e-08	9.212322765961289e-06	1.013213632060738e+05	2.885336218248098e+02	3.012721206289923e+00	3.461307810956994e-02	
57	3.333333333333326e-01	4.000000000000000e+00	1.223361108145556e+00	1.313821782445664e+01	-2.135521837473311e-02	2.533899589034758e+05	6.385514339513065e-10	1.605570780327525e-06	-3.514688706740543e-08	9.212322765961289e-06	1.013277640565362e+05	2.885387426731456e+02	3.915393673130066e+00	3.153780395911884e-02	
58	-3.333333333333348e-01	4.000000000000000e+00	1.223434928830742e+00	1.212832283163992e+01	-3.482551628172132e-02	2.534009146253988e+05	-5.317133400239982e-10	1.678118932701977e-06	-5.837520511420280e-08	2.985959872603416e-05	1.013363192214327e+05	2.885456926025172e+02	5.121875819019887e+00	2.911156281261691e-02	
59	-1.000000000000002e+00	4.000000000000000e+00	1.223515159836513e+00	1.134993981429363e+01	-2.820979021403615e-02	2.534168124701307e+05	-5.317133400239982e-10	1.678118932701977e-06	-5.837520511420280e-08	2.985959872603416e-05	1.013456673119712e+05	2.885533875229436e+02	6.440179378257135e+00	2.724103545422687e-02	
