Timesteps  Total_Iterations  Iterations  Convergence  
1264  2538  2  1  
1265  2540  2  1  
1266  2542  2  1  
1267  2544  2  1  
1268  2546  2  1  
1269  2548  2  1  
1270  2550  2  1  
1271  2552  2  1  
1272  2554  2  1  
1273  2556  2  1  
1274  2558  2  1  
1275  2560  2  1  
1276  2562  2  1  
1277  2564  2  1  
1278  2566  2  1  
1279  2568  2  1  
1280  2570  2  1  
1281  2571  1  1  
1282  2573  2  1  
1283  2574  1  1  
1284  2576  2  1  
1285  2577  1  1  
1286  2579  2  1  
1287  2580  1  1  
1288  2582  2  1  
1289  2583  1  1  
1290  2585  2  1  
1291  2586  1  1  
1292  2588  2  1  
1293  2589  1  1  
1294  2591  2  1  
1295  2592  1  1  
1296  2594  2  1  
1297  2595  1  1  
1298  2597  2  1  
1299  2598  1  1  
1300  2600  2  1  
1301  2601  1  1  
1302  2603  2  1  
1303  2604  1  1  
1304  2606  2  1  
1305  2607  1  1  
1306  2609  2  1  
1307  2610  1  1  
1308  2612  2  1  
1309  2613  1  1  
1310  2615  2  1  
1311  2616  1  1  
1312  2618  2  1  
1313  2619  1  1  
1314  2621  2  1  
1315  2622  1  1  
1316  2624  2  1  
1317  2625  1  1  
1318  2627  2  1  
1319  2628  1  1  
1320  2630  2  1  
1321  2631  1  1  
1322  2633  2  1  
1323  2634  1  1  
1324  2636  2  1  
1325  2637  1  1  
1326  2639  2  1  
1327  2640  1  1  
1328  2642  2  1  
1329  2643  1  1  
1330  2645  2  1  
1331  2646  1  1  
1332  2648  2  1  
1333  2649  1  1  
1334  2651  2  1  
1335  2653  2  1  
1336  2654  1  1  
1337  2656  2  1  
1338  2657  1  1  
1339  2659  2  1  
1340  2660  1  1  
1341  2662  2  1  
1342  2663  1  1  
1343  2665  2  1  
1344  2666  1  1  
1345  2668  2  1  
1346  2670  2  1  
1347  2671  1  1  
1348  2673  2  1  
1349  2674  1  1  
1350  2676  2  1  
1351  2677  1  1  
1352  2679  2  1  
1353  2681  2  1  
1354  2682  1  1  
1355  2684  2  1  
1356  2685  1  1  
1357  2687  2  1  
1358  2688  1  1  
1359  2690  2  1  
1360  2692  2  1  
1361  2693  1  1  
1362  2695  2  1  
1363  2696  1  1  
1364  2698  2  1  
1365  2700  2  1  
1366  2701  1  1  
1367  2703  2  1  
1368  2704  1  1  
1369  2706  2  1  
1370  2707  1  1  
1371  2709  2  1  
1372  2711  2  1  
1373  2712  1  1  
1374  2714  2  1  
1375  2715  1  1  
1376  2717  2  1  
1377  2719  2  1  
1378  2720  1  1  
1379  2722  2  1  
1380  2723  1  1  
1381  2725  2  1  
1382  2726  1  1  
1383  2728  2  1  
1384  2730  2  1  
1385  2731  1  1  
1386  2733  2  1  
1387  2734  1  1  
1388  2736  2  1  
1389  2738  2  1  
1390  2739  1  1  
1391  2741  2  1  
1392  2742  1  1  
1393  2744  2  1  
1394  2746  2  1  
