TimeWindow  TotalIterations  Iterations  Convergence  
1071  4908  4  1  
1072  4912  4  1  
1073  4915  3  1  
1074  4919  4  1  
1075  4923  4  1  
1076  4928  5  1  
1077  4933  5  1  
1078  4938  5  1  
1079  4942  4  1  
1080  4947  5  1  
1081  4950  3  1  
1082  4954  4  1  
1083  4958  4  1  
1084  4962  4  1  
1085  4966  4  1  
1086  4971  5  1  
1087  4974  3  1  
1088  4978  4  1  
1089  4982  4  1  
1090  4985  3  1  
1091  4989  4  1  
1092  4994  5  1  
1093  4999  5  1  
1094  5004  5  1  
1095  5008  4  1  
1096  5012  4  1  
1097  5016  4  1  
1098  5020  4  1  
1099  5023  3  1  
1100  5026  3  1  
1101  5030  4  1  
1102  5035  5  1  
1103  5039  4  1  
1104  5044  5  1  
1105  5048  4  1  
1106  5052  4  1  
1107  5056  4  1  
1108  5060  4  1  
1109  5064  4  1  
1110  5068  4  1  
1111  5071  3  1  
1112  5076  5  1  
1113  5080  4  1  
1114  5084  4  1  
1115  5089  5  1  
1116  5094  5  1  
1117  5098  4  1  
1118  5102  4  1  
1119  5106  4  1  
1120  5110  4  1  
1121  5114  4  1  
1122  5118  4  1  
1123  5123  5  1  
1124  5128  5  1  
1125  5132  4  1  
1126  5138  6  1  
1127  5144  6  1  
1128  5149  5  1  
1129  5153  4  1  
1130  5157  4  1  
1131  5161  4  1  
1132  5166  5  1  
1133  5170  4  1  
1134  5175  5  1  
1135  5178  3  1  
1136  5182  4  1  
1137  5187  5  1  
1138  5192  5  1  
1139  5197  5  1  
1140  5202  5  1  
1141  5206  4  1  
1142  5210  4  1  
1143  5215  5  1  
1144  5219  4  1  
1145  5223  4  1  
1146  5228  5  1  
1147  5232  4  1  
1148  5236  4  1  
1149  5239  3  1  
1150  5244  5  1  
1151  5249  5  1  
1152  5253  4  1  
1153  5258  5  1  
1154  5261  3  1  
1155  5265  4  1  
1156  5270  5  1  
1157  5274  4  1  
1158  5279  5  1  
1159  5282  3  1  
1160  5286  4  1  
1161  5291  5  1  
1162  5296  5  1  
1163  5301  5  1  
1164  5306  5  1  
1165  5310  4  1  
1166  5315  5  1  
1167  5319  4  1  
1168  5324  5  1  
1169  5328  4  1  
1170  5333  5  1  
1171  5338  5  1  
1172  5342  4  1  
1173  5346  4  1  
1174  5350  4  1  
1175  5354  4  1  
1176  5358  4  1  
1177  5362  4  1  
1178  5366  4  1  
1179  5370  4  1  
1180  5374  4  1  
1181  5378  4  1  
1182  5381  3  1  
1183  5386  5  1  
1184  5390  4  1  
1185  5394  4  1  
1186  5399  5  1  
1187  5404  5  1  
1188  5410  6  1  
1189  5413  3  1  
1190  5417  4  1  
1191  5421  4  1  
1192  5425  4  1  
1193  5428  3  1  
1194  5433  5  1  
1195  5438  5  1  
1196  5442  4  1  
1197  5446  4  1  
1198  5449  3  1  
1199  5454  5  1  
1200  5458  4  1  
1201  5462  4  1  
1202  5467  5  1  
1203  5470  3  1  
1204  5474  4  1  
1205  5478  4  1  
1206  5483  5  1  
1207  5487  4  1  
1208  5491  4  1  
1209  5495  4  1  
1210  5500  5  1  
1211  5503  3  1  
1212  5508  5  1  
1213  5511  3  1  
1214  5516  5  1  
1215  5520  4  1  
1216  5524  4  1  
1217  5529  5  1  
1218  5533  4  1  
1219  5537  4  1  
1220  5541  4  1  
1221  5545  4  1  
1222  5550  5  1  
1223  5554  4  1  
1224  5559  5  1  
1225  5563  4  1  
1226  5567  4  1  
1227  5570  3  1  
1228  5574  4  1  
1229  5577  3  1  
1230  5581  4  1  
1231  5584  3  1  
1232  5589  5  1  
1233  5593  4  1  
1234  5597  4  1  
1235  5601  4  1  
1236  5605  4  1  
1237  5609  4  1  
1238  5612  3  1  
1239  5616  4  1  
1240  5620  4  1  
1241  5624  4  1  
1242  5627  3  1  
1243  5630  3  1  
1244  5635  5  1  
1245  5639  4  1  
1246  5643  4  1  
1247  5646  3  1  
1248  5651  5  1  
1249  5655  4  1  
1250  5659  4  1  
1251  5663  4  1  
1252  5669  6  1  
1253  5673  4  1  
1254  5678  5  1  
1255  5682  4  1  
1256  5686  4  1  
1257  5690  4  1  
1258  5693  3  1  
1259  5696  3  1  
1260  5701  5  1  
1261  5705  4  1  
1262  5709  4  1  
1263  5714  5  1  
1264  5718  4  1  
1265  5721  3  1  
1266  5725  4  1  
1267  5729  4  1  
1268  5733  4  1  
1269  5738  5  1  
1270  5741  3  1  
1271  5745  4  1  
1272  5748  3  1  
1273  5752  4  1  
1274  5756  4  1  
1275  5759  3  1  
1276  5762  3  1  
1277  5766  4  1  
1278  5770  4  1  
1279  5774  4  1  
1280  5779  5  1  
1281  5783  4  1  
1282  5787  4  1  
1283  5791  4  1  
1284  5794  3  1  
1285  5798  4  1  
1286  5802  4  1  
1287  5806  4  1  
1288  5810  4  1  
1289  5815  5  1  
1290  5818  3  1  
1291  5822  4  1  
1292  5827  5  1  
1293  5832  5  1  
1294  5837  5  1  
1295  5842  5  1  
1296  5845  3  1  
1297  5850  5  1  
1298  5854  4  1  
1299  5858  4  1  
1300  5861  3  1  
1301  5865  4  1  
1302  5870  5  1  
1303  5874  4  1  
1304  5879  5  1  
1305  5883  4  1  
1306  5888  5  1  
1307  5892  4  1  
1308  5895  3  1  
1309  5899  4  1  
1310  5903  4  1  
1311  5906  3  1  
1312  5911  5  1  
1313  5915  4  1  
1314  5920  5  1  
1315  5924  4  1  
1316  5928  4  1  
1317  5933  5  1  
1318  5937  4  1  
1319  5941  4  1  
1320  5946  5  1  
1321  5950  4  1  
1322  5954  4  1  
1323  5958  4  1  
1324  5963  5  1  
1325  5966  3  1  
1326  5970  4  1  
1327  5973  3  1  
1328  5977  4  1  
1329  5982  5  1  
1330  5986  4  1  
1331  5991  5  1  
1332  5995  4  1  
1333  5999  4  1  
1334  6004  5  1  
1335  6008  4  1  
1336  6012  4  1  
1337  6017  5  1  
1338  6021  4  1  
1339  6025  4  1  
1340  6028  3  1  
1341  6033  5  1  
1342  6037  4  1  
1343  6041  4  1  
1344  6045  4  1  
1345  6048  3  1  
1346  6052  4  1  
1347  6055  3  1  
1348  6059  4  1  
1349  6063  4  1  
1350  6067  4  1  
1351  6071  4  1  
1352  6074  3  1  
